City,Country,Date,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude
Mandla,IN,1561069362,83.83,59,38,2.59,22.6,80.37
Hutang,CN,1561069362,73.21,98,100,1.23,29.22,119.85
Houma,CN,1561069362,66.73,84,75,4.36,35.63,111.36
Karangasem,ID,1561069362,68.71,76,27,3.94,-6.7,108.49
Farafangana,MG,1561069362,61.69,95,0,3.47,-22.82,47.83
Chase,US,1561069363,72.0,49,75,3.36,43.89,-85.64
Ishigaki,JP,1561069363,82.4,94,75,11.41,24.34,124.16
Makarov,RU,1561069363,52.15,88,59,2.91,48.62,142.78
Oksfjord,NO,1561069363,51.8,66,0,9.17,70.24,22.35
Acajutla,SV,1561069127,80.01,94,100,5.46,13.59,-89.83
Puerto Baquerizo Moreno,EC,1561069363,73.57,88,100,12.33,-0.9,-89.6
Senanga,ZM,1561069364,54.67,36,0,7.14,-16.1,23.3
Morondava,MG,1561069364,74.29,64,98,23.04,-20.3,44.28
Chacabuco,AR,1561069299,51.25,76,18,8.32,-34.64,-60.47
Bumba,CD,1561069364,72.85,89,20,1.68,2.18,22.47
Miramar,CR,1561069365,75.2,88,75,6.93,10.09,-84.73
Kandrian,PG,1561069365,75.19,94,99,5.55,-6.21,149.55
Revda,RU,1561069365,42.61,80,98,1.88,67.94,34.55
Partapur,IN,1561069365,85.63,66,28,11.16,23.59,74.18
Havelock,US,1561069084,91.4,78,1,28.86,34.88,-76.9
Mogadishu,SO,1561069365,75.91,87,0,11.97,2.04,45.34
Brandfort,ZA,1561069365,32.0,21,15,3.36,-28.7,26.46
Grand-Bourg,GP,1561069366,86.0,70,75,13.87,15.88,-61.31
Makakilo City,US,1561069366,89.6,48,75,5.82,21.35,-158.09
Harnai,PK,1561069366,79.51,48,0,3.98,30.1,67.94
Den Helder,NL,1561069366,60.01,93,90,5.82,52.96,4.76
Vila Franca do Campo,PT,1561069366,68.0,94,75,10.29,37.72,-25.43
Nizhniy Tsasuchey,RU,1561069366,61.15,51,0,3.42,50.52,115.13
Auki,NG,1561069367,85.09,61,49,15.82,12.18,6.51
Deori Khas,IN,1561069367,84.91,57,54,1.83,23.39,79.03
Medina,SA,1561069221,93.2,8,0,5.82,24.47,39.61
Vanavara,RU,1561069367,50.71,76,4,0.74,60.35,102.28
Soe,EE,1561069367,71.01,68,0,4.7,57.91,26.05
Santa Luzia,BR,1561069368,69.8,52,0,8.05,-19.77,-43.85
Bada,NG,1561069368,85.27,58,39,15.66,12.41,4.51
Rajula,IN,1561069369,80.95,76,10,7.74,21.04,71.44
Taquaritinga do Norte,BR,1561069369,69.25,76,0,10.2,-7.9,-36.04
Kilindoni,TZ,1561069369,80.23,69,13,17.56,-7.91,39.67
Larsnes,NO,1561069369,54.0,87,75,2.24,62.2,5.58
Whitehorse,CA,1561069284,73.0,37,40,2.24,60.72,-135.06
Broken Hill,AU,1561069369,37.4,64,16,2.42,-31.97,141.45
Nabire,ID,1561069312,69.25,98,100,3.62,-3.36,135.5
Sooke,CA,1561069370,66.0,59,1,11.41,48.37,-123.73
La Ronge,CA,1561069184,78.8,27,20,14.99,55.1,-105.3
Macapa,BR,1561069370,86.0,70,40,6.93,0.05,-51.07
Lasa,CY,1561069370,75.2,83,20,2.24,34.92,32.53
Gubkinskiy,RU,1561069370,50.53,74,100,8.12,64.43,76.5
Scarborough,GB,1561069371,54.0,76,0,4.7,54.28,-0.41
Lampa,CL,1561069371,64.4,48,0,8.05,-33.29,-70.87
Puerto del Rosario,ES,1561069354,71.6,68,20,17.22,28.5,-13.86
Naze,NG,1561069371,75.2,100,75,3.31,5.43,7.07
Tessalit,ML,1561069371,100.21,7,0,7.87,20.2,1.01
Ketchikan,US,1561069308,68.0,55,1,17.22,55.34,-131.65
Quchan,IR,1561069372,67.99,47,0,1.72,37.11,58.51
Emborion,GR,1561069372,72.0,82,0,2.24,40.48,21.55
Mago,RU,1561069372,48.91,86,52,1.48,53.27,140.15
Ahlen,DE,1561069372,64.0,82,49,4.7,51.76,7.89
Tabuk,PH,1561069372,65.47,94,42,2.33,17.41,121.44
Caramay,PH,1561069373,78.25,79,0,2.19,10.18,119.24
Codrington,AU,1561069373,57.2,100,90,3.65,-28.95,153.24
Kamaishi,JP,1561069373,59.17,96,21,0.94,39.28,141.86
Voskresenskoye,RU,1561069150,61.51,86,76,3.71,56.84,45.43
Guerrero Negro,MX,1561069373,62.59,88,1,13.27,27.97,-114.04
Lianran,CN,1561069373,68.0,77,40,20.13,24.92,102.47
Charlestown,US,1561069374,71.01,100,90,5.82,41.38,-71.64
Perelyub,RU,1561069210,64.57,76,0,5.91,51.87,50.37
Ust-Maya,RU,1561069374,57.37,93,46,3.6,60.42,134.54
Meadow Lake,CA,1561069374,73.4,40,90,17.22,54.13,-108.44
Sal Rei,CV,1561069374,75.2,73,75,13.87,16.18,-22.92
Makat,KZ,1561069374,78.07,39,0,10.38,47.65,53.35
Urgut,UZ,1561069375,62.6,51,0,4.7,39.41,67.25
Lodingen,NO,1561069375,57.99,71,100,9.17,68.41,16.0
Chirongui,YT,1561069375,78.8,74,0,4.7,-12.93,45.15
Beaverlodge,CA,1561069375,46.4,87,90,23.04,55.21,-119.43
Chernyshevskiy,RU,1561069375,60.43,68,76,2.66,63.01,112.47
Catuday,PH,1561069376,85.63,72,67,4.61,16.29,119.81
Saint-Francois,FR,1561069376,64.4,72,0,5.82,46.42,3.91
Visby,SE,1561069376,66.2,82,55,10.29,57.64,18.3
Belaya Kholunitsa,RU,1561069376,52.69,84,0,5.01,58.84,50.85
Pueblo Bello,CO,1561069376,87.79,75,100,3.06,8.2,-76.53
Rio Gallegos,AR,1561069376,37.4,75,0,5.82,-51.62,-69.22
Xining,CN,1561069377,52.33,84,100,2.08,36.62,101.77
Port Hedland,AU,1561069377,68.0,94,90,5.82,-20.31,118.58
Berwick,US,1561069377,80.01,69,40,5.82,41.06,-76.25
Nemuro,JP,1561069377,50.17,97,100,4.03,43.32,145.57
El Campo,US,1561069377,91.4,66,75,11.41,29.2,-96.27
Olga,US,1561069378,75.99,60,40,10.27,34.11,-118.17
Porto Novo,BR,1561069378,66.2,82,40,5.82,-23.68,-45.44
Mwinilunga,ZM,1561069378,55.21,59,0,6.31,-11.73,24.43
Khandyga,RU,1561069378,62.23,71,24,5.77,62.65,135.58
Birao,CF,1561069378,81.49,63,72,6.98,10.3,22.78
Narowal,PK,1561069378,82.4,61,40,4.7,32.1,74.87
Kruisfontein,ZA,1561069379,63.67,26,100,9.17,-34.0,24.73
Ancud,CL,1561069379,50.0,87,75,17.22,-41.87,-73.83
Hede,SE,1561069379,64.0,82,29,5.46,60.45,15.49
Asyut,EG,1561069379,95.0,39,0,5.82,27.18,31.19
Touba,SN,1561069093,78.07,60,0,11.74,14.86,-15.88
Biak,ID,1561069380,61.33,97,96,5.26,-0.91,122.88
Acapulco,MX,1561069189,89.6,70,40,11.41,16.86,-99.88
Pontes e Lacerda,BR,1561069380,79.87,56,9,4.21,-15.23,-59.33
Copiapo,CL,1561069312,60.8,67,0,11.41,-27.37,-70.33
Thinadhoo,MV,1561069367,84.01,71,100,3.71,0.53,72.93
Harrisonville,US,1561069081,89.6,45,1,9.17,38.65,-94.35
Ha Giang,VN,1561069380,67.81,97,12,3.67,22.83,104.99
Teahupoo,PF,1561069381,80.6,69,75,14.99,-17.83,-149.27
Sorong,ID,1561069381,75.73,93,100,8.08,-0.86,131.25
La Paz,MX,1561069274,102.2,6,5,9.17,24.15,-110.32
Hyderabad,IN,1561069322,79.0,94,75,6.93,17.36,78.47
Rawson,AR,1561069382,49.81,69,58,12.19,-43.3,-65.11
Konosha,RU,1561069382,58.09,78,75,2.53,60.97,40.26
Mount Darwin,ZW,1561069382,49.45,61,0,4.29,-16.77,31.58
Wewak,PG,1561069382,76.45,81,100,3.69,-3.55,143.63
Glushkovo,RU,1561069382,64.75,89,12,4.14,51.34,34.64
Sioux Lookout,CA,1561069378,75.2,27,75,8.05,50.1,-91.92
Garden City,US,1561069383,78.01,94,90,9.17,40.73,-73.63
Novichikha,RU,1561069383,53.41,84,4,2.06,52.2,81.39
Yablonovo,RU,1561069383,69.8,60,0,6.71,50.85,37.36
Nome,US,1561069192,93.2,63,40,11.41,30.04,-94.42
Rocha,UY,1561069383,49.27,89,67,0.56,-34.48,-54.34
Kedrovyy,RU,1561069384,46.4,93,0,2.24,56.17,91.82
Obihiro,JP,1561069384,57.19,94,100,0.51,42.92,143.2
Nizhniy Baskunchak,RU,1561069384,76.09,43,0,13.65,48.22,46.83
Margate,AU,1561069384,44.6,81,20,11.41,-43.03,147.26
Itupeva,BR,1561069278,73.99,64,0,10.29,-23.15,-47.06
Watertown,US,1561069129,77.0,64,40,16.11,44.9,-97.12
Victor Harbor,AU,1561069385,45.0,81,0,8.05,-35.55,138.62
Anadyr,RU,1561069385,60.01,77,0,11.18,64.73,177.51
Marsaxlokk,MT,1561069385,73.99,69,0,3.36,35.84,14.54
Diego de Almagro,CL,1561069385,55.57,83,0,6.6,-26.39,-70.05
